📉 Dashboard already running at http://localhost:7860 — skipping.
🚀 Pretraining SimCLR with resnet18 for 800 epochs
📁 Checkpoints → /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt
[Epoch 1/800] Loss: 1.3561  LR: 0.003000
[Epoch 2/800] Loss: 1.2695  LR: 0.032700
[Epoch 3/800] Loss: 1.0469  LR: 0.062400
[Epoch 4/800] Loss: 0.9667  LR: 0.092100
[Epoch 5/800] Loss: 0.9010  LR: 0.121800
[Epoch 6/800] Loss: 0.8654  LR: 0.151500
[Epoch 7/800] Loss: 0.8349  LR: 0.181200
[Epoch 8/800] Loss: 0.8000  LR: 0.210900
[Epoch 9/800] Loss: 0.8112  LR: 0.240600
[Epoch 10/800] Loss: 0.7959  LR: 0.270300
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_10.pth
[Epoch 11/800] Loss: 0.7925  LR: 0.300000
[Epoch 12/800] Loss: 0.7400  LR: 0.299999
[Epoch 13/800] Loss: 0.7197  LR: 0.299995
[Epoch 14/800] Loss: 0.6988  LR: 0.299989
[Epoch 15/800] Loss: 0.6719  LR: 0.299981
[Epoch 16/800] Loss: 0.6675  LR: 0.299970
[Epoch 17/800] Loss: 0.6550  LR: 0.299957
[Epoch 18/800] Loss: 0.6528  LR: 0.299942
[Epoch 19/800] Loss: 0.6371  LR: 0.299924
[Epoch 20/800] Loss: 0.6307  LR: 0.299904
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_20.pth
[Epoch 21/800] Loss: 0.6405  LR: 0.299881
[Epoch 22/800] Loss: 0.6254  LR: 0.299857
[Epoch 23/800] Loss: 0.6223  LR: 0.299829
[Epoch 24/800] Loss: 0.6241  LR: 0.299800
[Epoch 25/800] Loss: 0.6213  LR: 0.299768
[Epoch 26/800] Loss: 0.6169  LR: 0.299733
[Epoch 27/800] Loss: 0.6071  LR: 0.299696
[Epoch 28/800] Loss: 0.6076  LR: 0.299657
[Epoch 29/800] Loss: 0.6101  LR: 0.299616
[Epoch 30/800] Loss: 0.6119  LR: 0.299572
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_30.pth
[Epoch 31/800] Loss: 0.6014  LR: 0.299526
[Epoch 32/800] Loss: 0.5979  LR: 0.299477
[Epoch 33/800] Loss: 0.5878  LR: 0.299426
[Epoch 34/800] Loss: 0.5951  LR: 0.299373
[Epoch 35/800] Loss: 0.6036  LR: 0.299317
[Epoch 36/800] Loss: 0.5892  LR: 0.299259
[Epoch 37/800] Loss: 0.5825  LR: 0.299199
[Epoch 38/800] Loss: 0.5867  LR: 0.299136
[Epoch 39/800] Loss: 0.5897  LR: 0.299071
[Epoch 40/800] Loss: 0.5772  LR: 0.299004
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_40.pth
